Job Title,Company,Location,Min Salary,Max Salary
SRE Cloud Network Engineer,NCR,"Waterloo, ON",100645,127439
"Director, Product Marketing",opentext,"Waterloo, ON",104966,132911
Principal IT Software Engineer,Open Text Corporation,"Waterloo, ON",90589,114706
Senior IT Technology Risk Analyst,Open Text Corporation,"Waterloo, ON",82924,105000
Production Support Specialist,opentext,"Waterloo, ON",53157,67309
Senior IT Technology Risk Analyst,opentext,"Waterloo, ON",82924,105000
Sr. Financial Analyst,opentext,"Waterloo, ON",64989,82291
Master Data Management - Data/Process Analyst,opentext,"Waterloo, ON",86934,110077
"Sr. Manager, Workplace Security",opentext,"Waterloo, ON",93050,117823
Digital Marketing Manager-Vendor Programs,opentext,"Waterloo, ON",83776,106079
Lead Financial Analyst,opentext,"Waterloo, ON",74256,94024
Benefits Manager,opentext,"Waterloo, ON",84236,106661
Senior Software Engineer iOS,IMS,"Waterloo, ON",95917,121453
Innovation Architect,opentext,"Waterloo, ON",71719,90812
Infrastructure Cloud Architect,ApplyBoard,"Kitchener, ON",108484,137365
Lead Accountant (Contractor),Open Text Corporation,"Waterloo, ON",72508,91811
Collections Specialist (Escalations),opentext,"Waterloo, ON",53614,67888
Sr. Systems Administrator,Open Text Corporation,"Waterloo, ON",87250,110478
Sr. Program Manager (Contracts),opentext,"Waterloo, ON",69487,87986
SQL Database Administrator(Intermediate Experienced),opentext,"Waterloo, ON",93137,117932
Sr. Site Reliability Administrator,opentext,"Waterloo, ON",97291,123192
309A Lead Electrician/Controls Technician/Programmer,DCA Controls,Various locations,62400,
Sr. Systems Administrator,opentext,"Waterloo, ON",87250,110478
Sr. Systems Analyst - IAM,opentext,"Waterloo, ON",73009,92446
Sr. Site Reliability Administrator,Open Text Corporation,"Waterloo, ON",97291,123192
Principal Security Compliance Analyst - Compliance Strategy,opentext,"Waterloo, ON",76187,96470
"VP, Enterprise Architecture",opentext,"Waterloo, ON",81059,102639
Senior Product Security & Cloud Security Engineer,Siemens,"Kitchener, ON",101415,128414
Principal GCP Cloud Solutions Architect,opentext,"Waterloo, ON",74417,94228
Lead Security Compliance Analyst - Compliance Strategy,opentext,"Waterloo, ON",79794,101037
"Sr. Manager, Corporate Accounting",Open Text Corporation,"Waterloo, ON",81315,102963
Lead Site Reliability Engineer,opentext,"Waterloo, ON",99945,126552
Digital Marketing Manager-ABM,Open Text Corporation,"Waterloo, ON",77817,98534
Digital Marketing Manager-ABM,opentext,"Waterloo, ON",77817,98534
"Senior Cloud Security Engineer- Remote, Ontario",Smile DH,"Kitchener, ON",129190,163583
Lead Accountant (Contractor),opentext,"Waterloo, ON",72508,91811
Lead Site Reliability Engineer,Open Text Corporation,"Waterloo, ON",99945,126552
Principal GCP Cloud Solutions Architect,Open Text Corporation,"Waterloo, ON",74417,94228
"Sr. Manager, Renewals",Open Text Corporation,"Waterloo, ON",79929,101208
"Sr. Manager, Renewals",opentext,"Waterloo, ON",79929,101208
