Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"Waterloo, ON",57375.0,72650.0,2023-10-04
Full Stack Engineer,Just Play Sports Solutions LLC,"Kitchener, ON",85716.0,108535.0,2023-10-04
Web Application Developer,Fivewalls,"Waterloo, ON",67100.0,84964.0,2023-10-04
"Senior Software Developer, Precision Health Platform, Workflows",Verily,"Waterloo, ON",97031.0,122862.0,2023-10-04
Senior Cloud Software Developer,Siemens,"Kitchener, ON",99267.0,125694.0,2023-10-04
Customer Support Representative,Open Text Corporation,"Waterloo, ON",39388.0,49875.0,2023-10-04
"Software Engineering Manager II, Security/Privacy, Google Cloud Business Platforms",Google,"Waterloo, ON",,,2023-10-04
Software Engineer Senior,Altair Engineering,"Waterloo, ON",119628.0,151476.0,2023-10-04
Senior DevOps Developer,Clearpath Inc.,"Kitchener, ON",106499.0,134851.0,2023-10-04
Software Developer (Programmer/Analyst),Teledyne e2v Semiconductors,"Waterloo, ON",63567.0,80490.0,2023-10-04
C++ Software Engineer,Procom,Various locations,,,2023-10-04
Sr. Software Engineer,MCAP,"Waterloo, ON",97165.0,123032.0,2023-10-04
.NET Mobile Developer,Semex,"Guelph, ON",81110.0,102704.0,2023-10-04
Associate Product Support Specialist,Open Text Corporation,"Waterloo, ON",52799.0,66856.0,2023-10-04
Senior Software Developer,Brock Solutions,"Kitchener, ON",100193.0,126867.0,2023-10-04
"Senior Backend Engineer, Web3",Recruiting From Scratch,"Waterloo, ON",,,2023-10-04
CNC Programmer,Héroux-Devtek Inc.,"Kitchener, ON",60055.0,76043.0,2023-10-04
Software Engineering Manager,onsemi,"Waterloo, ON",104090.0,131801.0,2023-10-04
Project Manager,Ontario Health,Various locations,96287.0,121921.0,2023-10-04
Senior Software Engineer,Carta,"Waterloo, ON",104700.0,132574.0,2023-10-04
Senior Software Engineer (java/Kafka),Sun Life,"Waterloo, ON",,,2023-10-04
FPGA Developer,Christie Digital,"Kitchener, ON",82097.0,103953.0,2023-10-04
C++ Developer - Low Level - Canada,GTS,"Kitchener, ON",90620.0,114745.0,2023-10-04
Sage People Software Developer - Contract,Compugen Inc,Various locations,,,2023-10-04
"Manager, Software Development",D2L,"Kitchener, ON",102285.0,129515.0,2023-10-04
Staff Machine Learning Developer,FullStory,"Waterloo, ON",101315.0,128287.0,2023-10-04
Build System Developer,MAXON Computer,"Waterloo, ON",84898.0,107499.0,2023-10-04
"Senior Software Developer, Networks, Google Cloud Business Platforms",Google,"Waterloo, ON",,,2023-10-04
Engineering Communications Education Developer,University of Waterloo,"Waterloo, ON",74452.0,94273.0,2023-10-04
Network Engineer - IT & Cloud Infrastructure,Siemens,"Kitchener, ON",67724.0,85754.0,2023-10-04
Learning and Development Specialists - Leadership Development,University of Waterloo,"Waterloo, ON",72011.0,91182.0,2023-10-04
CNC Mill Programmer/Machinist,Novy Manufacturing Inc.,"Waterloo, ON",,,2023-10-04
Web Developer II (AEM Architect),BlackBerry,"Waterloo, ON",83601.0,105858.0,2023-10-04
CNC Programmer,The Bamco Group,"Guelph, ON",,,2023-10-04
Software Development Team Lead,RWDI,"Guelph, ON",112306.0,142204.0,2023-10-04
Staff Software Developer (Fleet Manager),Clearpath Inc.,"Kitchener, ON",110029.0,139321.0,2023-10-04
Senior Direct3D Software Developer,ALLUDO,"Waterloo, ON",109785.0,139013.0,2023-10-04
Principal Software Developer,Open Text Corporation,"Waterloo, ON",84110.0,106502.0,2023-10-04
Senior Software Developer,Euna Solutions,"Kitchener, ON",100683.0,127487.0,2023-10-04
Principal Software Developer,opentext,"Waterloo, ON",84110.0,106502.0,2023-10-04
"Educational Developer, Indigenous Knowledges",University of Waterloo,"Waterloo, ON",70507.0,89278.0,2023-10-04
Senior Software Engineer – Platform,Magnet Forensics,"Waterloo, ON",102176.0,129378.0,2023-10-04
Principal IT Software Engineer,opentext,"Waterloo, ON",90589.0,114706.0,2023-10-04
Control Systems Software Designer,ATS Automation Tooling Systems,"Cambridge, ON",62955.0,79715.0,2023-10-04
Health Records Tech Coder,Grand River Hospital,"Kitchener, ON",46065.0,58328.0,2023-10-04
"Developer, Power Platform",Addenda Capital,"Guelph, ON",69047.0,87428.0,2023-10-04
Jr. Application Developer,The Judge Group,"Elmira, ON",,,2023-10-04
Senior Cloud Security Operations Engineer - Remote,Revvity,"Guelph, ON",118613.0,150190.0,2023-10-04
Employment Counsellor/Job Developer,2nd Chance Employment Counselling,"Fergus, ON",,,2023-10-04
Software Developer Licensing Team,Magnet Forensics,"Waterloo, ON",89397.0,113197.0,2023-10-04
RF Developer,Sonova,"Kitchener, ON",63991.0,81027.0,2023-10-04
Senior Solution Architect (Hybrid Cloud),BMO Financial Group,Various locations,99502.0,125992.0,2023-10-04
"Lead Developer/Team Lead - MS Stack (Dynamics, Power Platform)",Mayk Ideas,"Kitchener, ON",80581.0,102034.0,2023-10-04
Master Data Management - Data/Process Analyst,Open Text Corporation,"Waterloo, ON",86934.0,110077.0,2023-10-04
FPGA Developer,Christie Digital Systems Inc.,"Kitchener, ON",82333.0,104252.0,2023-10-04
Unreal Engine C++ Developer II - SDK,Mawari,"Waterloo, ON",95624.0,121082.0,2023-10-04
