Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
Sr. ITSM Analyst - SMAX,opentext,"Waterloo, ON",66904.0,84716.0,2023-10-04,2023-10-11
"Sr. Manager, Business Processes - Financial Analysis",Open Text Corporation,"Waterloo, ON",98049.0,124153.0,2023-10-04,2023-10-11
Lead Privacy Analyst,Open Text Corporation,"Waterloo, ON",76506.0,96874.0,2023-10-04,2023-11-01
Lead Technology Risk & Disaster Recovery Analyst(Workers Council),opentext,"Waterloo, ON",66057.0,83643.0,2023-10-04,2023-10-11
Sr. Client Manager,opentext,"Waterloo, ON",83619.0,105881.0,2023-10-04,2023-10-18
Client Director,Open Text Corporation,"Waterloo, ON",97850.0,123900.0,2023-10-04,2023-10-25
"Sr. Manager, Business Processes - Financial Analysis",opentext,"Waterloo, ON",98049.0,124153.0,2023-10-04,2023-10-11
Account Development Executive,Open Text Corporation,"Waterloo, ON",86648.0,109716.0,2023-10-04,2023-10-11
Principal GCP Cloud Solutions Architect,opentext,"Waterloo, ON",74417.0,94228.0,2023-10-04,2023-11-08
Sr. Systems Analyst - uCMDB,Open Text Corporation,"Waterloo, ON",75888.0,96091.0,2023-10-04,2023-10-11
Client Director,opentext,"Waterloo, ON",97850.0,123900.0,2023-10-04,2023-10-25
"Sr. Manager, SAP Finance Applications",opentext,"Waterloo, ON",87742.0,111102.0,2023-10-04,2023-10-11
"Sr. Manager, SAP Finance Applications",Open Text Corporation,"Waterloo, ON",87742.0,111102.0,2023-10-04,2023-10-11
Senior Monitoring Specialist (Sitescope),opentext,"Waterloo, ON",77886.0,98621.0,2023-10-04,2023-10-11
Lead Product Manager,Open Text Corporation,"Waterloo, ON",97948.0,124024.0,2023-10-04,2023-10-11
Account Development Executive,opentext,"Waterloo, ON",86648.0,109716.0,2023-10-04,2023-10-11
Lead Product Manager,opentext,"Waterloo, ON",97948.0,124024.0,2023-10-04,2023-10-11
"Senior Cloud Security Engineer- Remote, Ontario",Smile DH,"Kitchener, ON",129190.0,163583.0,2023-10-04,2023-11-08
Principal GCP Cloud Solutions Architect,Open Text Corporation,"Waterloo, ON",74417.0,94228.0,2023-10-04,2023-11-08
Lead Product Manager (IoT),Open Text Corporation,"Waterloo, ON",97948.0,124024.0,2023-10-04,2023-10-11
Principal Network Specialist,Open Text Corporation,"Waterloo, ON",76996.0,97494.0,2023-10-04,2023-11-01
Staff Perception Developer - Localization and Mapping,Clearpath Inc.,"Kitchener, ON",99096.0,125478.0,2023-10-04,2023-10-11
"Advisor, Business Development (University of Waterloo)",Mitacs,"Waterloo, ON",83063.0,105177.0,2023-10-04,2023-11-22
Sr. Systems Analyst - IAM,Open Text Corporation,"Waterloo, ON",73009.0,92446.0,2023-10-04,2023-11-22
Sr. Software Engineer-Zuora Administrator,Open Text Corporation,"Waterloo, ON",85653.0,108456.0,2023-10-04,2023-10-04
Lead Systems Analyst,Open Text Corporation,"Waterloo, ON",92034.0,116535.0,2023-10-04,2023-10-18
Monitoring Tools Specialist (Sitescope+),Open Text Corporation,"Waterloo, ON",58861.0,74531.0,2023-10-04,2023-10-11
Lead Privacy Analyst,opentext,"Waterloo, ON",76506.0,96874.0,2023-10-04,2023-11-01
Application Developer,Stantec,"Waterloo, ON",94215.0,119297.0,2023-10-04,2023-11-22
"Sr. Director, IT PMO",Open Text Corporation,"Waterloo, ON",108651.0,137576.0,2023-10-04,2023-11-08
Lead Site Reliability Engineer,Open Text Corporation,"Waterloo, ON",99945.0,126552.0,2023-10-04,2023-11-22
"Senior Software Engineer - Risk Controls, Health",Cash App,"Kitchener, ON",141237.0,178838.0,2023-10-04,2023-11-08
Lead Network Administrator,opentext,"Waterloo, ON",91271.0,115569.0,2023-10-04,2023-10-04
"Maternal Child Health Nurse Coordinator-Relocate to Port Hardy, B.C",Gwa'sala-'Nakwaxd'xw Nations,Various locations,82396.0,104332.0,2023-10-04,2023-10-25
Senior Simulation Developer,Clearpath Inc.,"Kitchener, ON",94378.0,119504.0,2023-10-04,2023-10-11
Sr. Systems Analyst - IAM,opentext,"Waterloo, ON",73009.0,92446.0,2023-10-04,2023-11-22
Principal Security Compliance Analyst - Compliance Strategy,opentext,"Waterloo, ON",76187.0,96470.0,2023-10-04,2023-11-22
Senior Software Engineer in Test,Magnet Forensics,"Waterloo, ON",74802.0,94716.0,2023-10-04,2023-10-11
"CNC Mid to Large Lathe Machinist (""Programmer"")",BARRIE WELDING & MACHINE,Various locations,,,2023-10-04,2023-10-25
"Senior React Native Engineer - Afterpay, Cash App",Cash App,"Waterloo, ON",139063.0,176085.0,2023-10-04,2023-10-18
Senior Software Engineer (API/Java),Sun Life,"Waterloo, ON",,,2023-10-04,2023-11-01
Master Data Management - Data/Process Analyst,opentext,"Waterloo, ON",86934.0,110077.0,2023-10-04,2023-11-22
Infrastructure Cloud Architect,ApplyBoard,"Kitchener, ON",108484.0,137365.0,2023-10-04,2023-11-22
Sr. Client Manager,Open Text Corporation,"Waterloo, ON",83619.0,105881.0,2023-10-04,2023-10-18
Sr. ITSM Analyst - SMAX,Open Text Corporation,"Waterloo, ON",66904.0,84716.0,2023-10-04,2023-10-11
Senior Monitoring Specialist (Sitescope),Open Text Corporation,"Waterloo, ON",77886.0,98621.0,2023-10-04,2023-10-11
Sr. Software Developer,Open Text Corporation,"Waterloo, ON",95129.0,120454.0,2023-10-04,2023-11-08
Sr. Site Reliability Administrator,Open Text Corporation,"Waterloo, ON",97291.0,123192.0,2023-10-04,2023-11-22
Lead Technology Risk & Disaster Recovery Analyst(Workers Council),Open Text Corporation,"Waterloo, ON",66057.0,83643.0,2023-10-04,2023-10-11
Principal Network Specialist,opentext,"Waterloo, ON",76996.0,97494.0,2023-10-04,2023-11-01
Business Development Specialist,BicDroid Inc.,"Waterloo, ON",64477.0,81642.0,2023-10-04,2023-11-22
Software Development Team Lead,RWDI,"Guelph, ON",112306.0,142204.0,2023-10-04,2023-10-11
Senior Software Architect,Dejero Labs Inc.,"Waterloo, ON",97782.0,123813.0,2023-10-04,2023-11-22
Web Developer II (AEM Architect),BlackBerry,"Waterloo, ON",83601.0,105858.0,2023-10-04,2023-11-15
"Cloud Technical Solutions Developer, Billing",Google,"Waterloo, ON",,,2023-10-04,2023-10-18
Software Developer - Backend,Green Brick Labs,"Kitchener, ON",50677.0,64169.0,2023-10-04,2023-11-22
Software Developer (Angular),Descartes,"Waterloo, ON",80088.0,101409.0,2023-10-04,2023-11-01
Web developer,QProVibe Inc.,"Waterloo, ON",,,2023-10-04,2023-10-04
Software Test Automation Engineer,Nicoya,"Kitchener, ON",95059.0,120366.0,2023-10-04,2023-10-25
Software Developer (.NET),Descartes,"Waterloo, ON",82147.0,104016.0,2023-10-04,2023-10-11
Web Developer,University of Waterloo,"Waterloo, ON",83252.0,105416.0,2023-10-04,2023-10-18
Software Developer,Brock Solutions,"Kitchener, ON",85753.0,108582.0,2023-10-04,2023-11-22
Lead Software Developer,Euna Solutions,"Kitchener, ON",119935.0,151864.0,2023-10-04,2023-10-11
Intermediate Software Developer,Geotab,"Waterloo, ON",89506.0,113334.0,2023-10-04,2023-10-25
Software Developer,BicDroid Inc.,"Waterloo, ON",60513.0,76623.0,2023-10-04,2023-11-22
Full Stack Developer - Front End focus,Eleven-X,"Waterloo, ON",83816.0,106130.0,2023-10-04,2023-10-04
Software Engineer Coop/Intern,Sandvine,"Waterloo, ON",102710.0,130054.0,2023-10-04,2023-11-15
Software Engineer (Front End Web Application - Angular),Power TakeOff,"Kitchener, ON",,,2023-10-04,2023-10-11
