"
  Sectograph. Day & Time planner","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu-0G4AGYxwes5xcRMR1CgbZGSYEhLYksPdDuyvUHA=s32-rw","Stefan Z.","October 24, 2022","Great idea and app and I bought premium version but... Minus one star for not having some kind of integrated fast calendar option, you still need to use some kind of calendar app to sectograph works. Minus another star for not having option in widget to change color of free time, it's always orange.","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9D9AOw27ACrTU2OeKm4QcdVaqheeYjRb0wCShG=s32-rw","Stephanie Carter","November 5, 2022","So far, so good. It let's me overlay my work and personal calendar, which helps me greatly. It does take getting used to as the visual representation is so different than a standard calendar.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9oM6txjavkcC3nRoJvzrTTp70wh8KwO3FAVIu7hWs=s32-rw","Shadab Kasim","November 4, 2022","I love this app! It really shows the chunks of what I am doing and how I can figure it out. My only gripe about this is that we've not gotten a Google task integration. (or maybe I can't find it). If that was available it would be most viable as a single app for time-management.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu90oC3uO_TtwVZr8hVPjIsmtbjqswT1C05yNvDigA=s32-rw","Paula Wilson","October 19, 2022","I love being able to visualise the time available, between and in use. Early days yet but I'm sure I will learn more about use features and how to tailor it to my needs. Another reviewer mentioned that they could colour from a certain calendar together in (as well as colouring them individually. How do you set the colour for all events/reminders/appointments from the same calendar?","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-vV4lIZzsTfjX0OiSkWVNpRTYyG04jZ803ovGFsw=s32-rw","Reason FOR","October 17, 2022","Still no watch faces for Samsung Watch 5 or others. Why even make a program like this if you're not going to have something practical and usable on a daily basis like a digital smartwatch. This app is a 5 min install for novelty alone. Years after I first installed there are still no watch faces. The potential of this is huge but wasted without the addition of digital watch faces. It's truly astonishing.","7 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0LpZ94DwbUEMKI_pxrvb66pTdC9xpBxqBDjzSg=s32-rw-mo","Sarah R","September 26, 2022","It only displays my all-day events. I didn't mess with any settings except to link to my Google calendars (I have 2 accounts that are linked to my Google calendar. It displays all day events for both, but not appointments. No idea how to fix it.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_ULin1p5sE2OehqHIOktMa_A2d1kxJleY0frP-=s32-rw","Nazaril Ellezmirp","September 20, 2022","It is useful for tracking time! However, I would prefer if we can also create events and schedules on the app itself instead of through linked calendars. Edit: New update can now add schedules on in-app calendar! New smartwatch feature is also a great idea","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9-RIXAbMq6lf61bHOleWMljV_SSfFCMhNkRXxU6io=s32-rw","Gabriel Salviano","September 26, 2022","Loved the app so much. It'd be nice to be able to use the center of the widget to open the clock app, since the most logical thing is to replace the clock widget with Sectograph. Other than that, no complaints, great work!","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu3w6G0-IbRuU51KkrtPIUrevuaoYBg-yq7-paB2=s32-rw-mo","Ian Pebody","September 8, 2022","Amazing idea and app, really simple and easy to use, and love that calendar colours are copied from google calendar. I highly recommend to any SmartWatch users, it's the perfect app to use as a watch face and syncs quickly with your phone.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8UUJ4Z-2T-dj0L6LlHXBjTXYoHhmDlI3WSNC4C8w=s32-rw","MZH47","August 30, 2022","A must have for me due to watch integration! I'm using a galaxy watch and with that the app puts the schedule right on to the watch face. Makes it incredibly useful to see my schedule at a glance and get reminders. In general the app is great too. I like the visualization concept and the integration with so many calendar apps. Try it out!","39 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_6YJPmpUQlBYnHLQ_DjyeDkdlpPAaFWZVz3Iblcw=s32-rw","Akuma","September 9, 2022","App keeps crashing when I try to click + button to add section. UPD: phone model: Poco M4 Pro 5G I got the issue fixed by going to settings > event editor & calendar> swtiching both options to sectograph. Hope this helps to anyone with similar issues on debloated phones.","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu87uzntvp8BXAQcnk2NxqHgYZwjL2kV5v7uiFzTWQ=s32-rw","peter Ayorinde","November 9, 2022","Operating system Should work closer to an alarm than a mere calendar, rather than mostly a notification based alerter. It is really a good app though. But I miss the notifications more often than the attention my alarm gives me","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0Y7FvDUghDOiP_K3-nxMHpEbvVFOX3K12_e_Jy=s32-rw-mo","Katherine Ruiz","August 18, 2022","Update: Thank you, developer! There IS a way to do exactly what I wanted :D That, plus the kind answer from them, made me love the app even more. Updating to 5 stars! Original: I really like the concept, it's quite friendly, easy to use and the clock visualization it's unique. However it is not possible to have the events in the app only, they will display in the device's calendar as well.","21 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_HSHpCABHiptj3p6JUSBffSKaFIGh7kQRknPTFEDM=s32-rw","Cuz Why Not","November 18, 2022","One of the best apps I've found in the last 5 years ... Definitely recommend! P.s. This application is so underrated... I mean it's so good I want this app on a big smart watch on the wall in my bedroom, in my kitchen, even in my bathroom. The most I want is to be on my hand, so I suppose a WearOs is my next purchase.. 2 P.S. to the team, just keep going! Tnx","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_MAF6qMmyEklrXnsu9iLAlQhUqBusBT9euM3GB0Js=s32-rw","Yevgen Glashchenko","July 30, 2022","I really love the app! The idea is awesome. Mainly if use a watchface! The best way to visualize timings I've seen so far. Ideally would be to add a couple of complications. Need more settings for the watchfase. And possibility to open and edit events on watch (as it works for the widget) would be nice! P.S. And deveropers are nice and responsive","12 people found this review helpful","Show review history"
