"
  GitHub","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a/ALm5wu0bUGhNXKShQ2T9A_SlAurlFmCXjPtFWqOE_DksV2g=s32-rw-mo","Wouter Deconinck","October 8, 2022","Sufficient for a subset of frequent actions, but I find myself shifting to a web browser half the time due to missing functionality: external workflows, batched commit suggestions, ...","4 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9L5XAPAOwWZb2C-r2hwEkwdfy4EIUglxDqkhDLFg=s32-rw","Travis Foster","July 7, 2022","Pointless so far. Wanted a way to sync an Obsidian vault and GitHub would be the best way given that Obsidian is text based and I want to delete files when I delete them and move files when I move them (rather than copy them) - same for renaming. All things that Google Drive just doesn't do. Problem is that there's just no reasonable way to sync my notes from my phone back to GitHub. I can't even use this app to download them in the first place. The website is so much better.","56 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_bGWk6QzTcsOUu1vhQ3_-2Ja5smX7btz53fq_SCA=s32-rw","FenixGlobElite","August 7, 2022","Web version is way better, even if not optimized well for mobile users. I can't even manage my repositories or settings. Pros: it's very lightweight and optimized. Cons: It's exploring-only, without main functions.","29 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-At7zyhw97xCPqrIQrVOx_czFJi2QZME_T1Lzo0D4=s32-rw","Seb","July 17, 2022","Just fails to be useful. Lacks the core basics that would give this app any sort of meaning. Right now, it's like an incomplete web browser that just avoids all useful features for programming design simplicity at the cost of user experience.","71 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8jkbtbDwU3GOe68Mz7bP0GJo_SDGqXJIv3aL7Emw=s32-rw","Ruben D. Porras","August 9, 2022","I use it and like it. But navigation is not smooth, also the pull request UI is not too user friendly. I miss a way to see the comments in a quick way, for example.","8 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu99M93gYMOFpnGDY8GiwwhYp8DYwXWuSkCUSsTZmIo=s32-rw","Lakshya Sharma","September 17, 2022","We all know that GitHub is the best version and the source control fot hosting git services. The one thing is that GitHub app should able to give an option to create a repository which makes it far more usable and feasible to use.","3 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-39wt3urGnZsfZlakI_6t2_RqB2t2N-jp6THTL=s32-rw","Rohit Patil","October 18, 2022","What's up with the new update? The sign-in buttons are not clickable. Can't you test the app before pushing a new update. 😠","3 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-yeYciiSMRL_ZN_hUaa_f8xxflf198d5YVPH3P7m4=s32-rw","Boogie","November 2, 2022","I prefer downloading from F-Droid. I mean, how do you even navigate this site, it's so cluttered and difficult.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-22Fy8B01mrM1nAcPS1yzPaTUL-j0CF341lTXx=s32-rw","Lydia Monday","November 13, 2022","I wish they would explain how to use the app a little more. I'm only a beginner but I am extremely confused about almost everything.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_oXQvr892Teyfkv5yCMOp7FXYtALxPDwBEM2ey1g=s32-rw","Ivar Scholten","July 29, 2022","The app is very nice overall, im just missing one key feature: opening the directory containing files touched in pull requests. Not have the ability to do so really slows me down.","21 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-nlTAaW4t7jmXZ1WuL0gmXZlLWrlgtgkVPy_A1gg=s32-rw","Neinmonarch","September 8, 2022","Not bad, but too small functionality. For ex. u can't navigate in file with u fingers, only scroll up and down, and no smooth resize just a few sizes of text selected in options","",""
